tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2020-12-29,DKI1 (Bunderan HI),,21.0,23.0,5.0,28.0,6.0,28.0,O3,BAIK
2020-12-30,DKI1 (Bunderan HI),,19.0,22.0,4.0,25.0,7.0,30.0,PM25,BAIK
2020-12-31,DKI1 (Bunderan HI),,26.0,25.0,8.0,29.0,10.0,39.0,PM25,BAIK
2021-01-01,DKI1 (Bunderan HI),53.0,38.0,29.0,6.0,31.0,13.0,53.0,PM25,SEDANG
2021-01-02,DKI1 (Bunderan HI),46.0,27.0,27.0,7.0,47.0,7.0,47.0,O3,BAIK
2021-01-03,DKI1 (Bunderan HI),58.0,44.0,25.0,7.0,40.0,13.0,58.0,PM25,SEDANG
2021-01-04,DKI1 (Bunderan HI),48.0,30.0,24.0,4.0,32.0,7.0,48.0,PM25,BAIK
2021-01-05,DKI1 (Bunderan HI),53.0,38.0,24.0,6.0,31.0,9.0,53.0,PM25,SEDANG
2021-01-06,DKI1 (Bunderan HI),58.0,41.0,23.0,13.0,46.0,13.0,58.0,PM25,SEDANG
2021-01-07,DKI1 (Bunderan HI),47.0,35.0,22.0,6.0,39.0,10.0,47.0,PM25,BAIK
2021-01-08,DKI1 (Bunderan HI),54.0,37.0,26.0,16.0,17.0,10.0,54.0,PM25,SEDANG
2021-01-09,DKI1 (Bunderan HI),61.0,47.0,16.0,27.0,22.0,12.0,61.0,PM25,SEDANG
2021-01-10,DKI1 (Bunderan HI),25.0,23.0,16.0,11.0,33.0,8.0,33.0,O3,BAIK
2021-01-11,DKI1 (Bunderan HI),54.0,38.0,17.0,14.0,27.0,10.0,54.0,PM25,SEDANG
2021-01-12,DKI1 (Bunderan HI),50.0,29.0,20.0,12.0,26.0,15.0,50.0,PM25,BAIK
2021-01-13,DKI1 (Bunderan HI),44.0,34.0,17.0,13.0,20.0,9.0,44.0,PM25,BAIK
2021-01-14,DKI1 (Bunderan HI),57.0,36.0,15.0,15.0,26.0,13.0,57.0,PM25,SEDANG
2021-01-15,DKI1 (Bunderan HI),62.0,42.0,14.0,15.0,32.0,12.0,62.0,PM25,SEDANG
2021-01-16,DKI1 (Bunderan HI),73.0,52.0,15.0,17.0,25.0,14.0,73.0,PM25,SEDANG
2021-01-17,DKI1 (Bunderan HI),71.0,52.0,17.0,15.0,26.0,14.0,71.0,PM25,SEDANG
2021-01-18,DKI1 (Bunderan HI),52.0,40.0,16.0,11.0,26.0,12.0,52.0,PM25,SEDANG
2021-01-19,DKI1 (Bunderan HI),41.0,31.0,13.0,12.0,25.0,12.0,41.0,PM25,BAIK
2021-01-20,DKI1 (Bunderan HI),34.0,35.0,12.0,12.0,22.0,13.0,35.0,PM10,BAIK
2021-01-21,DKI1 (Bunderan HI),51.0,43.0,13.0,14.0,28.0,15.0,51.0,PM25,SEDANG
2021-01-22,DKI1 (Bunderan HI),63.0,49.0,14.0,14.0,28.0,15.0,63.0,PM25,SEDANG
2021-01-23,DKI1 (Bunderan HI),108.0,72.0,14.0,43.0,44.0,20.0,108.0,PM25,TIDAK SEHAT
2021-01-24,DKI1 (Bunderan HI),48.0,33.0,12.0,14.0,23.0,10.0,48.0,PM25,BAIK
2021-01-25,DKI1 (Bunderan HI),82.0,56.0,13.0,29.0,62.0,15.0,82.0,PM25,SEDANG
2021-01-26,DKI1 (Bunderan HI),70.0,52.0,14.0,19.0,28.0,13.0,70.0,PM25,SEDANG
2021-01-27,DKI1 (Bunderan HI),20.0,20.0,13.0,10.0,19.0,8.0,20.0,PM10,BAIK
2021-01-28,DKI1 (Bunderan HI),41.0,27.0,14.0,18.0,17.0,11.0,41.0,PM25,BAIK
2021-01-29,DKI1 (Bunderan HI),53.0,30.0,16.0,17.0,24.0,11.0,53.0,PM25,SEDANG
2021-01-30,DKI1 (Bunderan HI),37.0,27.0,13.0,16.0,24.0,12.0,37.0,PM25,BAIK
2021-01-31,DKI1 (Bunderan HI),51.0,36.0,13.0,16.0,26.0,10.0,51.0,PM25,SEDANG
2021-02-01,DKI1 (Bunderan HI),79.0,59.0,21.0,26.0,15.0,31.0,79.0,PM25,SEDANG
2021-02-02,DKI1 (Bunderan HI),46.0,30.0,21.0,14.0,16.0,24.0,46.0,PM25,BAIK
2021-02-03,DKI1 (Bunderan HI),33.0,23.0,19.0,11.0,14.0,19.0,33.0,PM25,BAIK
2021-02-04,DKI1 (Bunderan HI),53.0,36.0,23.0,14.0,12.0,24.0,53.0,PM25,SEDANG
2021-02-05,DKI1 (Bunderan HI),36.0,29.0,20.0,14.0,12.0,21.0,36.0,PM25,BAIK
2021-02-06,DKI1 (Bunderan HI),34.0,27.0,21.0,8.0,21.0,15.0,34.0,PM25,BAIK
2021-02-07,DKI1 (Bunderan HI),23.0,25.0,19.0,7.0,19.0,12.0,25.0,PM10,BAIK
2021-02-08,DKI1 (Bunderan HI),26.0,24.0,19.0,10.0,18.0,17.0,26.0,PM25,BAIK
2021-02-09,DKI1 (Bunderan HI),40.0,33.0,22.0,12.0,14.0,22.0,40.0,PM25,BAIK
2021-02-10,DKI1 (Bunderan HI),38.0,32.0,21.0,10.0,12.0,16.0,38.0,PM25,BAIK
2021-02-11,DKI1 (Bunderan HI),37.0,26.0,23.0,13.0,9.0,17.0,37.0,PM25,BAIK
2021-02-12,DKI1 (Bunderan HI),52.0,41.0,26.0,16.0,10.0,16.0,52.0,PM25,SEDANG
2021-02-13,DKI1 (Bunderan HI),37.0,25.0,20.0,9.0,19.0,16.0,37.0,PM25,BAIK
2021-02-14,DKI1 (Bunderan HI),47.0,33.0,18.0,11.0,19.0,19.0,47.0,PM25,BAIK
2021-02-15,DKI1 (Bunderan HI),47.0,34.0,20.0,13.0,17.0,25.0,47.0,PM25,BAIK
2021-02-16,DKI1 (Bunderan HI),28.0,26.0,18.0,11.0,18.0,26.0,28.0,PM25,BAIK
2021-02-17,DKI1 (Bunderan HI),57.0,39.0,23.0,23.0,12.0,33.0,57.0,PM25,SEDANG
2021-02-18,DKI1 (Bunderan HI),59.0,43.0,29.0,13.0,12.0,29.0,59.0,PM25,SEDANG
2021-02-19,DKI1 (Bunderan HI),41.0,29.0,19.0,20.0,12.0,23.0,41.0,PM25,BAIK
2021-02-20,DKI1 (Bunderan HI),38.0,30.0,18.0,11.0,18.0,20.0,38.0,PM25,BAIK
2021-02-21,DKI1 (Bunderan HI),45.0,31.0,18.0,10.0,16.0,17.0,45.0,PM25,BAIK
2021-02-22,DKI1 (Bunderan HI),67.0,51.0,20.0,18.0,11.0,23.0,67.0,PM25,SEDANG
2021-02-23,DKI1 (Bunderan HI),64.0,50.0,22.0,11.0,20.0,23.0,64.0,PM25,SEDANG
2021-02-24,DKI1 (Bunderan HI),42.0,30.0,22.0,10.0,9.0,16.0,42.0,PM25,BAIK
2021-02-25,DKI1 (Bunderan HI),48.0,31.0,26.0,12.0,14.0,17.0,48.0,PM25,BAIK
2021-02-26,DKI1 (Bunderan HI),38.0,29.0,18.0,13.0,18.0,20.0,38.0,PM25,BAIK
2021-02-27,DKI1 (Bunderan HI),67.0,49.0,23.0,15.0,17.0,31.0,67.0,PM25,SEDANG
2021-02-28,DKI1 (Bunderan HI),60.0,43.0,19.0,12.0,19.0,18.0,60.0,PM25,SEDANG
2021-03-01,DKI1 (Bunderan HI),60.0,37.0,20.0,12.0,12.0,17.0,60.0,PM25,SEDANG
2021-03-02,DKI1 (Bunderan HI),55.0,38.0,20.0,15.0,14.0,28.0,55.0,PM25,SEDANG
2021-03-03,DKI1 (Bunderan HI),67.0,49.0,19.0,21.0,17.0,35.0,67.0,PM25,SEDANG
2021-03-04,DKI1 (Bunderan HI),75.0,51.0,22.0,18.0,19.0,31.0,75.0,PM25,SEDANG
2021-03-05,DKI1 (Bunderan HI),69.0,52.0,20.0,16.0,16.0,30.0,69.0,PM25,SEDANG
2021-03-06,DKI1 (Bunderan HI),73.0,51.0,20.0,22.0,15.0,37.0,73.0,PM25,SEDANG
2021-03-07,DKI1 (Bunderan HI),88.0,57.0,23.0,23.0,19.0,31.0,88.0,PM25,SEDANG
2021-03-08,DKI1 (Bunderan HI),63.0,47.0,21.0,16.0,11.0,19.0,63.0,PM25,SEDANG
2021-03-09,DKI1 (Bunderan HI),50.0,36.0,23.0,15.0,10.0,22.0,50.0,PM25,BAIK
2021-03-10,DKI1 (Bunderan HI),65.0,45.0,20.0,20.0,14.0,27.0,65.0,PM25,SEDANG
2021-03-11,DKI1 (Bunderan HI),35.0,27.0,19.0,9.0,15.0,21.0,35.0,PM25,BAIK
2021-03-12,DKI1 (Bunderan HI),58.0,44.0,24.0,12.0,13.0,25.0,58.0,PM25,SEDANG
2021-03-13,DKI1 (Bunderan HI),62.0,37.0,27.0,13.0,13.0,25.0,62.0,PM25,SEDANG
2021-03-14,DKI1 (Bunderan HI),60.0,39.0,23.0,14.0,10.0,19.0,60.0,PM25,SEDANG
2021-03-15,DKI1 (Bunderan HI),70.0,45.0,29.0,18.0,13.0,34.0,70.0,PM25,SEDANG
2021-03-16,DKI1 (Bunderan HI),80.0,55.0,32.0,13.0,21.0,36.0,80.0,PM25,SEDANG
2021-03-17,DKI1 (Bunderan HI),93.0,59.0,25.0,19.0,20.0,45.0,93.0,PM25,SEDANG
2021-03-18,DKI1 (Bunderan HI),102.0,64.0,30.0,15.0,25.0,40.0,102.0,PM25,TIDAK SEHAT
2021-03-19,DKI1 (Bunderan HI),88.0,60.0,29.0,14.0,24.0,35.0,88.0,PM25,SEDANG
2021-03-20,DKI1 (Bunderan HI),80.0,55.0,28.0,16.0,19.0,31.0,80.0,PM25,SEDANG
2021-03-21,DKI1 (Bunderan HI),55.0,43.0,21.0,11.0,18.0,17.0,55.0,PM25,SEDANG
2021-03-22,DKI1 (Bunderan HI),61.0,38.0,21.0,13.0,14.0,18.0,61.0,PM25,SEDANG
